epoch,split,r2,R2,mse,rank
0,train_eval,0.029445759144922517,-0.08632335971842253,0.712586,-0.05143401089199666
0,val,0.08235608107886866,-0.09032864577218747,0.7196712,-0.04153122496799983
1,train_eval,0.2715024911402791,-0.2944331190720084,0.84909797,0.6362526810492356
1,val,0.17055530622496862,-4.39026522121172,3.5578437,0.6290187071434291
2,train_eval,0.5748095628330517,0.5667799729562184,0.28417557,0.7141281475829316
2,val,0.4912749732531918,0.4319213349619925,0.37496018,0.6836904191931529
3,train_eval,0.6084850839274085,0.5768239981767397,0.27758706,0.7253039742718028
3,val,0.5886836014807292,0.5491889949626274,0.2975577,0.6826477424256889
4,train_eval,0.5625703972736869,0.46074346592630333,0.3537314,0.7095185051865294
4,val,0.42413751038783293,0.09702692270171154,0.59600717,0.6598007980738703
5,train_eval,0.6369568499252836,0.6244824491639038,0.24632496,0.756200931910588
5,val,0.595408966971114,0.5554238923550678,0.29344237,0.721595229268118
6,train_eval,0.6088117903323441,0.58773945116862,0.27042693,0.7447062324447841
6,val,0.5587142799929392,0.4779013183099199,0.34461114,0.7091519459434715
7,train_eval,0.6170771946367535,0.5997859379843387,0.26252493,0.7551803756533974
7,val,0.37272470855161594,-0.3162765310327247,0.868808,0.7160741833539417
8,train_eval,0.6028974478137076,0.5985576097698091,0.26333064,0.7130771911039747
8,val,0.5537729131475911,0.5349953796926377,0.30692616,0.6939177465177276
9,train_eval,0.5427828092035777,0.49106365191298607,0.33384255,0.7031945924133688
9,val,0.5720082263413607,0.483013761717929,0.34123665,0.6917115758812812
10,train_eval,0.6412469922966171,0.628994119396895,0.24336548,0.7558246313246556
10,val,0.5739701983309553,0.5202191148849609,0.31667927,0.7151827731095409
11,train_eval,0.5726333132378565,0.5038470986215146,0.32545707,0.7075091033725268
11,val,0.5293725503672296,0.3781418273745948,0.41045737,0.6808945444422786
12,train_eval,0.6330017004721773,0.6020069027281135,0.26106805,0.7699425619857262
12,val,0.5199156661565767,0.2526480839313203,0.49328947,0.7412203959756798
13,train_eval,0.6125246478150932,0.11335599592813694,0.5816041,0.7256271433650735
13,val,0.5235486158307223,-0.20146314173706248,0.7930255,0.7027205594221877
14,train_eval,0.6473078253265327,0.5921109421222912,0.2675594,0.7682718824070249
14,val,0.5391664880588052,0.463428870999687,0.35416365,0.7317523970821412
15,train_eval,0.5328903565500247,0.010154128750677116,0.6493005,0.697686239865489
15,val,0.5097553050023146,-0.21195673494171952,0.7999518,0.6802457720776454
16,train_eval,0.6283859951336661,0.6144390952889063,0.252913,0.7675599840796552
16,val,0.473094896974552,0.22322973242912747,0.51270705,0.7254271730048331
17,train_eval,0.5911191154710549,-0.25070619333502586,0.8204148,0.7380038964257148
17,val,0.5244095090579145,-1.0309574625790527,1.340533,0.6945568470737721
18,train_eval,0.4746252553541892,0.09115066650903914,0.59616995,0.744480570231334
18,val,0.19170454256351577,-1.2108621937607,1.4592791,0.7169552814704124
19,train_eval,0.6633785217747621,0.6464000556563223,0.23194787,0.7661210113165063
19,val,0.646641903405537,0.6243404441061229,0.247954,0.7263735536695565
20,train_eval,0.651218785670034,0.6483899815796226,0.23064256,0.7797218702449811
20,val,0.5897274472335932,0.5678909814841534,0.28521347,0.7416280708607055
