epoch,split,r2,R2,mse,rank
0,train_eval,0.022652309263373197,-0.05429266957363099,0.6858495,-0.018813273836106467
0,val,0.024338191291590566,-0.09782052215474812,0.71256244,-0.05520967868224306
1,train_eval,0.33441365906416687,0.2988499901397039,0.4561194,0.5170209621588305
1,val,0.2689780557533677,0.2054031246947614,0.51574904,0.48477821266020105
2,train_eval,0.5124610381030177,0.44792963883843406,0.35913858,0.6141627324416119
2,val,0.414470005536532,0.34282885757747894,0.42655015,0.5543740569796836
3,train_eval,0.5373158225772179,0.3309624235649655,0.43522936,0.6652498639216627
3,val,0.47051858128563473,0.23045321053262313,0.4994898,0.652033186501559
4,train_eval,0.6120011159888213,0.43879403273094664,0.3650816,0.7027594230561466
4,val,0.6000910461017004,0.46457943609039554,0.34752545,0.7329787022530572
5,train_eval,0.5674162796096133,0.5579804839816771,0.28754717,0.6629513984074251
5,val,0.5633480091262092,0.5598977682564105,0.2856572,0.6578899726163827
6,train_eval,0.5744351855161208,0.4859993736786674,0.33437306,0.6798361380011474
6,val,0.571874763561944,0.5208257398676699,0.31101766,0.6848556355833082
7,train_eval,0.6174929125318159,0.4589244005966817,0.35198614,0.7278495845791678
7,val,0.5980322152594133,0.43223125030758114,0.36852172,0.7326135553656007
8,train_eval,0.6033747810820094,0.598362922362246,0.26127717,0.6792515685394842
8,val,0.5845514798050553,0.5810428071335783,0.27193257,0.7010418581146042
9,train_eval,0.6308055295742439,0.5470798965379156,0.29463834,0.7137016579532363
9,val,0.5922143200250708,0.5358095867578596,0.30129212,0.6927974389845055
10,train_eval,0.46791401744789424,0.4478841375987479,0.3591682,0.644180804233628
10,val,0.38390897109646094,0.3586713330795869,0.41626725,0.6346020125520814
11,train_eval,0.6238192015411849,0.5978146883339861,0.2616338,0.748275870494942
11,val,0.5629089476735285,0.5585305332930159,0.28654465,0.7268548939782399
12,train_eval,0.6365794947030361,0.6230734787578527,0.24520217,0.7257766841773823
12,val,0.5986973638250825,0.5950284306230488,0.26285493,0.7068156469934379
13,train_eval,0.6308419323827745,0.6118275052342238,0.25251803,0.7291257963853726
13,val,0.6077902557362751,0.5967176745590297,0.2617585,0.7473693196260465
14,train_eval,0.6262577404148598,0.42385536451361105,0.37479967,0.7107727502696537
14,val,0.5829574417422696,0.40642496039931764,0.3852718,0.7066009483505722
15,train_eval,0.6315151724872313,0.6292976767313365,0.24115318,0.7255892786882179
15,val,0.6046452418789319,0.5991704401171218,0.26016647,0.7330993219617492
16,train_eval,0.56218374337227,0.5401065135819121,0.29917473,0.6808046001974574
16,val,0.5274059509355337,0.5040014110151776,0.32193783,0.6803299598720866
17,train_eval,0.4857536086928267,0.34936386347594794,0.42325866,0.6725442402107739
17,val,0.4736185222142127,0.3648544207237717,0.41225398,0.661392624020151
18,train_eval,0.6335753287635437,0.5589754616647586,0.2868999,0.7470307883585746
18,val,0.5937065330448837,0.5409084817622405,0.29798257,0.7431454473021727
19,train_eval,0.6346137636648488,0.5550615476078177,0.28944603,0.7316843111655528
19,val,0.6184982739473778,0.5508681756562642,0.29151803,0.7335262421164284
20,train_eval,0.6419686163772406,0.5750545884409295,0.27643993,0.7324262930755958
20,val,0.6203855896309423,0.5684062585389349,0.28013462,0.7455961591782234
